Szenen-ID,Szenenbeschreibung,Drehort,Drehortbeschreibung,Breitengrad (Drehort),Längengrad (Drehort),Szenenort,Längengrad (Szenenort),Breitengrad (Szenenort),Zeit im Film (sek),Zeit (chronologisch),Figuren,Links,Quelle,Anmerkung
A3-9,"Iron Man, Dr. Strange und Wong lassen ein Auto auf Ebony Maw fliegen, welchen er in zwei Teile durchsägt. Iron Man wird mit einem Objekt getroffen, das ihn wegschleudert.","84 Walton Street NW, Atlanta, GA 30303",null,33.756539179710494,-84.39116951710628,"Thompson Street, New York",40.72612172816812,-74.00161128329653,00:21:32,2018,Stephen Strange als Dr. Strange/ Tony Stark als Iron Man/ Wong/ Ebony Maw/ Cull Obsidian,"https://www.imdb.com/title/tt4154756/locations, https://mculocationscout.com/2020/09/16/thompson-street-new-york-mcu-location-scout/","IMDb, MCU Location Scout","""Walton Street between Forsyth and Cone, in Atlanta, GA, is the location of this destruction."" - MCU Location Scout"
A3-10A,"Iron Man wird dorthin geschleudert, wo sich Bruce Banner befindet. Cull Obsidian und Iron Man liefern sich ein Gefecht. Banner ringt mit sich, um Hulk herauszubringen. Spider-Man taucht auf und bewahrt Iron Man davor, von Cull Obsidian zerdrückt zu werden. Gemeinsam kämpfen sie weiter.","Woodruff Park, 91 Peachtree St, Atlanta, GA 30303",Park in Downtown Atlanta,33.755199487488284,-84.38862258625718,"Washington Square Park,
Washington Square, New York, NY 10012, United States",40.73102199134093,-73.99731054439424,00:21:48,2018,Tony Stark als Iron Man/ Bruce Banner/ Cull Obsidian/ Peter Parker als Spider-Man,https://mculocationscout.com/2020/09/16/washington-square-park-new-york-mcu-location-scout/,MCU Location Scout,Hintergrundbilder wurden im Washington Square Park gedreht. 
A3-10B,"Iron Man wird dorthin geschleudert, wo sich Bruce Banner befindet. Cull Obsidian und Iron Man liefern sich ein Gefecht. Banner ringt mit sich, um Hulk herauszubringen. Spider-Man taucht auf und bewahrt Iron Man davor, von Cull Obsidian zerdrückt zu werden. Gemeinsam kämpfen sie weiter.","Washington Square Park,
Washington Square, New York, NY 10012, United States",,40.73102199134093,-73.99731054439424,"Washington Square Park,
Washington Square, New York, NY 10012, United States",40.73102199134093,-73.99731054439424,00:21:48,2018,Tony Stark als Iron Man/ Bruce Banner/ Cull Obsidian/ Peter Parker als Spider-Man,https://mculocationscout.com/2020/09/16/washington-square-park-new-york-mcu-location-scout/,MCU Location Scout,Hintergrundbild
A3-11,"Ebony Maw greift Dr. Strange und Wong an. Maw stranguliert Strange, welcher ohnmächtig wird, aber von seinem Umhang wegbefördert wird.","84 Walton Street NW, Atlanta, GA 30303",null,33.756539179710494,-84.39116951710628,"Thompson Street, New York",40.72612172816812,-74.00161128329653,00:22:49,2018,Ebony Maw/ Stephen Strange als Dr. Strange/ Wong,"https://www.imdb.com/title/tt4154756/locations, https://mculocationscout.com/2020/09/16/thompson-street-new-york-mcu-location-scout/","IMDb, MCU Location Scout","""Walton Street between Forsyth and Cone, in Atlanta, GA, is the location of this destruction."" - MCU Location Scout"
A3-12A,"Beim Gefecht zwischen Cull Obsidian, Iron Man und Spider-Man fliegt der ohnmächtige Dr. Strange an ihnen vorbei, verfolgt von Ebnoy Maw. Iron Man befiehlt Spider-Man, ihnen hinterher zu gehen.","Woodruff Park, 91 Peachtree St, Atlanta, GA 30303",Park in Downtown Atlanta,33.755199487488284,-84.38862258625718,"Washington Square Park,
Washington Square, New York, NY 10012, United States",40.73102199134093,-73.99731054439424,00:23:49,2018,Tony Stark als Iron Man/ Cull Obsidian/ Stephen Strange als Dr. Strange/ Peter Parker als Spider-Man,https://mculocationscout.com/2020/09/16/washington-square-park-new-york-mcu-location-scout/,MCU Location Scout,Hintergrundbilder wurden im Washington Square Park gedreht. 
A3-12B,"Beim Gefecht zwischen Cull Obsidian, Iron Man und Spider-Man fliegt der ohnmächtige Dr. Strange an ihnen vorbei, verfolgt von Ebnoy Maw. Iron Man befiehlt Spider-Man, ihnen hinterher zu gehen.","Washington Square Park,
Washington Square, New York, NY 10012, United States",null,40.73102199134093,-73.99731054439424,"Washington Square Park,
Washington Square, New York, NY 10012, United States",40.73102199134093,-73.99731054439424,00:23:49,2018,Tony Stark als Iron Man/ Cull Obsidian/ Stephen Strange als Dr. Strange/ Peter Parker als Spider-Man,https://mculocationscout.com/2020/09/16/washington-square-park-new-york-mcu-location-scout/,MCU Location Scout,Hintergrundbild
A3-13,"Spider-Man verfolgt Ebony Maw, der hinter Dr. Strange und dem Zeit Stein ist.","Woodruff Park, 91 Peachtree St, Atlanta, GA 30303",Park in Downtown Atlanta,33.755199487488284,-84.38862258625718,"5th Ave, New York",40.73172593117752,-73.99672686015106,00:23:56,2018,Ebony Maw/ Peter Parker als Spider-Man/  Stephen Strange als Dr. Strange,https://mculocationscout.com/2020/09/16/washington-square-park-new-york-mcu-location-scout/,MCU Location Scout,Hintergrundbilder wurden im Washington Square Park gedreht. 
A3-13,"Spider-Man verfolgt Ebony Maw, der hinter Dr. Strange und dem Zeit Stein ist.","Washington Square Park,
Washington Square, New York, NY 10012, United States",null,40.73102199134093,-73.99731054439424,"5th Ave, New York",40.73172593117752,-73.99672686015106,00:23:56,2018,Ebony Maw/ Peter Parker als Spider-Man/  Stephen Strange als Dr. Strange,https://mculocationscout.com/2020/09/16/washington-square-park-new-york-mcu-location-scout/,MCU Location Scout,Hintergrundbild
A3-14A,"Spider-Man verfolgt Ebony Maw, der hinter Dr. Strange und dem Zeit Stein ist, wird aber von einem Werbeschild getroffen. ","Trilith Studios,
461 Sandy Creek Road
Fayetteville, Georgia 30214","Amerikanisches Film- und Fernsehproduktionsstudio südlich von Atlanta in Fayette County, Georgia. Ehemals Pinewood Atlanta Studios.",33.47312809304286,-84.51253281451417,"E 8th Street, New York",40.73213662461309,-73.99609320486235,00:24:00,2018,Ebony Maw/ Peter Parker als Spider-Man/  Stephen Strange als Dr. Strange,https://mculocationscout.com/2020/09/16/university-place-new-york-mcu-location-scout/,MCU Location Scout,"Hintergrundbilder wurden auf dem Universtity Place in New York gedreht. Keine Gewähr auf Richtigkeit, dass dies in den Trilith Studios gedreht wurde."
A3-14B,"Spider-Man verfolgt Ebony Maw, der hinter Dr. Strange und dem Zeit Stein ist, wird aber von einem Werbeschild getroffen. ","University Place, New York, NY 10003, United States",null,40.73273474505255,-73.9938050737456,"E 8th Street, New York",40.73213662461309,-73.99609320486235,00:24:00,2018,Ebony Maw/ Peter Parker als Spider-Man/  Stephen Strange als Dr. Strange,https://mculocationscout.com/2020/09/16/university-place-new-york-mcu-location-scout/,MCU Location Scout,Hintergrundbild
A3-15,"Eine Straßenlampe, die von Ebony Maw kontrolliert wird, kriegt den Umhang von Dr. Strange zu fassen. ","Trilith Studios,
461 Sandy Creek Road
Fayetteville, Georgia 30214","Amerikanisches Film- und Fernsehproduktionsstudio südlich von Atlanta in Fayette County, Georgia. Ehemals Pinewood Atlanta Studios.",33.47312809304286,-84.51253281451417,"Kreuzung von West 4th Street und Barrow Street, New York",40.73283767779557,-74.00212826201785,00:24:07,2018,Stephen Strange als Dr. Strange,https://mculocationscout.com/2020/09/16/sheridan-square-new-york-mcu-location-scout/,MCU Location Scout,"”The Cloak is grabbed at the corner of W 4th and Barrow St“. - MCU Location Scout zum Szenenort.
Keine Gewähr auf Richtigkeit, dass dies in den Trilith Studios gedreht wurde."
A3-16,Spider-Man fängt den stürzenden Dr. Strange mit seinen Spinnenweben auf. ,"Trilith Studios,
461 Sandy Creek Road
Fayetteville, Georgia 30214","Amerikanisches Film- und Fernsehproduktionsstudio südlich von Atlanta in Fayette County, Georgia. Ehemals Pinewood Atlanta Studios.",33.47312809304286,-84.51253281451417,"99 Grove St, New York, NY 10014, USA",40.733391557270366,-74.00277654558877,00:24:08,2018,Peter Parker als Spider-Man/ Stephen Strange als Dr. Strange,https://mculocationscout.com/2020/09/16/sheridan-square-new-york-mcu-location-scout/,MCU Location Scout,"Keine Gewähr auf Richtigkeit, dass dies in den Trilith Studios gedreht wurde."
A3-17,"Dr. Strange hängt an Spider-Mans Spinnenweben, wird daraufhin jedoch von dem Donut Raumschiff nach oben gebeamt. Spider-Man klammert sich an einer Straßenlampe, um zu verhindern, mitgezogen zu werden. Ebony Maw reißt die Straßenlampe raus, sodass Spider-Man auch hochgezogen wird.","Trilith Studios,
461 Sandy Creek Road
Fayetteville, Georgia 30214","Amerikanisches Film- und Fernsehproduktionsstudio südlich von Atlanta in Fayette County, Georgia. Ehemals Pinewood Atlanta Studios.",33.47312809304286,-84.51253281451417,"Christopher Street Station,
7th Ave S, New York, NY 10014, USA",40.733590571958395,-74.0028707112576,00:24:10,2018,Stephen Strange als Dr. Strange/ Ebony Maw/ Peter Parker als Spider-Man,https://mculocationscout.com/2020/09/16/sheridan-square-new-york-mcu-location-scout/,MCU Location Scout,"Keine Gewähr auf Richtigkeit, dass dies in den Trilith Studios gedreht wurde."
A3-18A,"Iron Man kämpft weiterhin mit Cull Obsidian. Iron Man werden die Arme verbunden und wird beinahe zerschmettert, doch Wong öffnet ein Portal.","Woodruff Park, 91 Peachtree St, Atlanta, GA 30303",Park in Downtown Atlanta,33.755199487488284,-84.38862258625718,"Washington Square Park,
Washington Square, New York, NY 10012, United States",40.73102199134093,-73.99731054439424,00:24:22,2018,Tony Stark als Iron Man/ Cull Obsidian,https://mculocationscout.com/2020/09/16/washington-square-park-new-york-mcu-location-scout/,MCU Location Scout,Hintergrundbilder wurden im Washington Square Park gedreht. 
A3-18B,"Iron Man kämpft weiterhin mit Cull Obsidian. Iron Man werden die Arme verbunden und wird beinahe zerschmettert, doch Wong öffnet ein Portal.","Washington Square Park,
Washington Square, New York, NY 10012, United States",null,40.73102199134093,-73.99731054439424,"Washington Square Park,
Washington Square, New York, NY 10012, United States",40.73102199134093,-73.99731054439424,00:24:22,2018,Tony Stark als Iron Man/ Cull Obsidian,https://mculocationscout.com/2020/09/16/washington-square-park-new-york-mcu-location-scout/,MCU Location Scout,Hintergrundbild
A3-19A,"Cull Obsidian fällt in das von Wong geöffnete Portal und landet an einem verschneiten Ort außerhalb der Zivilisation. Er versucht, wieder durch das Portal zu springen, doch Wong schließt es und Obsidians Hand wird vom schließenden Portal abgehackt.","Trilith Studios,
461 Sandy Creek Road
Fayetteville, Georgia 30214","Amerikanisches Film- und Fernsehproduktionsstudio südlich von Atlanta in Fayette County, Georgia. Ehemals Pinewood Atlanta Studios.",33.47312809304286,-84.51253281451417,null,null,null,00:24:33,,Cull Obsidian/ Bruce Banner/ Wong,https://mculocationscout.com/2020/09/16/antarctica-mcu-location-scout/,MCU Location Scout,Hintergrundbilder wurden auf der norwegischen Insel Svalbard gedreht.
A3-19B,"Cull Obsidian fällt in das von Wong geöffnete Portal und landet an einem verschneiten Ort außerhalb der Zivilisation. Er versucht, wieder durch das Portal zu springen, doch Wong schließt es und Obsidians Hand wird vom schließenden Portal abgehackt.",Svalbard,Norwegische Insel nördlich von Norwegen,78.720474336108,16.02220245489607,null,null,null,00:24:33,,Cull Obsidian/ Bruce Banner/ Wong,https://mculocationscout.com/2020/09/16/antarctica-mcu-location-scout/,MCU Location Scout,Hintergrundbild
A3-20A,Iron Man lädt Wong als Dank zu seiner Hochzeit ein und fliegt weg.,"Woodruff Park, 91 Peachtree St, Atlanta, GA 30303",Park in Downtown Atlanta,33.755199487488284,-84.38862258625718,"Washington Square Park,
Washington Square, New York, NY 10012, United States",40.73102199134093,-73.99731054439424,00:24:40,,Bruce Banner/ Wong/ Tony Stark als Iron Man,https://mculocationscout.com/2020/09/16/washington-square-park-new-york-mcu-location-scout/,MCU Location Scout,Hintergrundbilder wurden im Washington Square Park gedreht. 
A3-20B,Iron Man lädt Wong als Dank zu seiner Hochzeit ein und fliegt weg.,"Washington Square Park,
Washington Square, New York, NY 10012, United States",null,40.73102199134093,-73.99731054439424,"Washington Square Park,
Washington Square, New York, NY 10012, United States",40.73102199134093,-73.99731054439424,00:24:40,,Bruce Banner/ Wong/ Tony Stark als Iron Man,https://mculocationscout.com/2020/09/16/washington-square-park-new-york-mcu-location-scout/,MCU Location Scout,Hintergrundbild
A3-21,Spider-Man klammert sich am Donut Raumschiff fest. Iron Man fliegt auf den Raumschiff zu.,"Trilith Studios,
461 Sandy Creek Road
Fayetteville, Georgia 30214","Amerikanisches Film- und Fernsehproduktionsstudio südlich von Atlanta in Fayette County, Georgia. Ehemals Pinewood Atlanta Studios.",33.47312809304286,-84.51253281451417,über New York,null,null,00:24:47,2018,Peter Parker als Spider-Man/ Tony Stark als Iron Man,null,null,"Keine Gewähr auf Richtigkeit, dass dies in den Trilith Studios gedreht wurde."
A3-22,"Ebony Maw bringt den bewusstlosen Dr. Strange in einen Raum auf dem Raumschiff. Er legt seine Hände in ein Gerät, womit er das Schiff steuert.","Trilith Studios,
461 Sandy Creek Road
Fayetteville, Georgia 30214","Amerikanisches Film- und Fernsehproduktionsstudio südlich von Atlanta in Fayette County, Georgia. Ehemals Pinewood Atlanta Studios.",33.47312809304286,-84.51253281451417,auf dem Raumschiff über New York,null,null,00:24:57,2018,Ebony Maw/ Stephen Strange als Dr. Strange,null,null,"Keine Gewähr auf Richtigkeit, dass dies in den Trilith Studios gedreht wurde."
A3-23,Iron Man aktiviert einen Anzug für Spider-Man.,"Trilith Studios,
461 Sandy Creek Road
Fayetteville, Georgia 30214","Amerikanisches Film- und Fernsehproduktionsstudio südlich von Atlanta in Fayette County, Georgia. Ehemals Pinewood Atlanta Studios.",33.47312809304286,-84.51253281451417,über New York,null,null,00:25:03,2018,Peter Parker als Spider-Man/ Tony Stark als Iron Man,null,null,"Keine Gewähr auf Richtigkeit, dass dies in den Trilith Studios gedreht wurde."
A3-24,"Das Raumschiff, an dem sich Spider-Man klammert, ist höher aufgestiegen. Er wird durch den Sauerstoffmangel bewusstlos, wird jedoch von dem neuen und upgegradeten Anzug, den Iron Man davor aktiviert hat, aufgefangen. Iron Man schickt ihn unfreiwiliig nach Hause.","Trilith Studios,
461 Sandy Creek Road
Fayetteville, Georgia 30214","Amerikanisches Film- und Fernsehproduktionsstudio südlich von Atlanta in Fayette County, Georgia. Ehemals Pinewood Atlanta Studios.",33.47312809304286,-84.51253281451417,über New York,null,null,00:25:15,2018,Peter Parker als Spider-Man/ Tony Stark als Iron Man,null,null,"Keine Gewähr auf Richtigkeit, dass dies in den Trilith Studios gedreht wurde."
A3-25,"Iron Man gelangt in das Raumschiff, als ihn Pepper Potts anruft. Er verliert das Signal zu ihr und zu Friday. Spider-Man hat es geschafft, sich am Raumschiff festzuhalten und missachtet damit Iron Mans Befehl, nach Hause zu gehen. Ebony Maw steuert das Schiff ins All. ","Trilith Studios,
461 Sandy Creek Road
Fayetteville, Georgia 30214","Amerikanisches Film- und Fernsehproduktionsstudio südlich von Atlanta in Fayette County, Georgia. Ehemals Pinewood Atlanta Studios.",33.47312809304286,-84.51253281451417,über New York,null,null,00:25:53,2018,Iron Man,null,null,"Keine Gewähr auf Richtigkeit, dass dies in den Trilith Studios gedreht wurde."
A3-26,Bruce Banner findet das Klapphandy von Tony Stark. Wong geht zurück ins Sanctum Sanctorum. Banner ruft Steve Rogers an. ,"79 Walton St NW
Atlanta, GA 30303",null,33.756783076914424,-84.3910074878835,"Thompson Street, New York",40.72612172816812,-74.00161128329653,00:26:52,2018,Bruce Banner/ Wong,"https://mculocationscout.com/2020/09/16/thompson-street-new-york-mcu-location-scout/, 
https://www.filmtourismus.de/avengers-infinity-war/","MCU Location Scout, Filmtourismus","""Walton Street between Forsyth and Cone, in Atlanta, GA, is the location of this destruction."" - MCU Location Scout"
A3-27,"Die Guardians stoßen auf das zerstörte Schiff der Asgardianer. Sie finden Thor auf. Thor, Rocket und Groot machen sich auf den Weg zu Nivadellir, um einen Hammer zu besorgen. Der Rest geht zu dem Planeten Knowhere, um Thanos daran zu hindern, sich den Realitätsstein zu nehmen.","Trilith Studios,
461 Sandy Creek Road
Fayetteville, Georgia 30214","Amerikanisches Film- und Fernsehproduktionsstudio südlich von Atlanta in Fayette County, Georgia. Ehemals Pinewood Atlanta Studios.",33.47312809304286,-84.51253281451417,Die Benatar (Schiff der Gurdians of the Galaxy) im All,null,null,00:27:21,2018,Peter Quill/ Mantis/ Drax/ Gamora/ Groot/ Rocket/ Thor,null,null,"Keine Gewähr auf Richtigkeit, dass dies in den Trilith Studios gedreht wurde."
A3-28,"Vision und Wanda Maximoff befinden sich in einem Hotelzimmer. Vision spürt, dass der Stein ihm etwas sagen will. Sie küssen sich. ","Trilith Studios,
461 Sandy Creek Road
Fayetteville, Georgia 30214","Amerikanisches Film- und Fernsehproduktionsstudio südlich von Atlanta in Fayette County, Georgia. Ehemals Pinewood Atlanta Studios.",33.47312809304286,-84.51253281451417,Hotelzimmer irgendwo in Edinburgh in Schottland,null,null,00:35:47,2018,Vision/ Wanda Maximoff,null,null,"Keine Gewähr auf Richtigkeit, dass dies in den Trilith Studios gedreht wurde."
A3-29,"Vision bietet Wanda Maximoff an, nicht zu Stark zurückzukehren und bei ihr zu bleiben. Sie sehen die Nachrichten in einem Schaufenster, was in New York passiert ist. Sie werden plötzlich angegriffen von den Proxima Midnight und Corvus Glaive. ","52 Cockburn St, Edinburgh EH1 1PB, United Kingdom",null,55.95035988796245,-3.188541371901439,"Vor einem Kebab Laden,
52 Cockburn St, Edinburgh EH1 1PB, United Kingdom",55.95035988796245,-3.188541371901439,00:35:38,2018,Vision/ Wanda Maximoff/ Proxima Midnight/ Corvus Glaive,https://mculocationscout.com/2020/09/16/street-edinburgh-scotland-mcu-location-scout/,MCU Location Scout,null
A3-30,"Wanda Maximoff befördert sich und den verwundeten Vision weg. Wanda hilft, Visions Wunde etwas zu schließen, bis Proxima Midnight und Corvus erneut angreifen.","St Giles' Cathedral,
High St, Edinburgh EH1 1RE, United Kingdom",An der St Giles' Cathedral,55.94955747048104,-3.1909066950253138,"St Giles' Cathedral,
High St, Edinburgh EH1 1RE, United Kingdom",55.94955747048104,-3.1909066950253138,00:38:20,2018,Vision/ Wanda Maximoff/ Proxima Midnight/ Corvus Glaive,https://mculocationscout.com/2020/09/16/st-giles-cathedral-scotland-mcu-location-scout/,MCU Location Scout,null
A3-31,Vision wird von Corvus Glaive angegriffen.,"St Giles' Cathedral,
High St, Edinburgh EH1 1RE, United Kingdom",An der St Giles' Cathedral,55.94955747048104,-3.1909066950253138,"St Giles' Cathedral,
High St, Edinburgh EH1 1RE, United Kingdom",55.94955747048104,-3.1909066950253138,00:38:46,2018,Wanda Maximoff/ Vision/ Corus Glaive,https://www.google.com/maps/d/viewer?mid=1LGydXx6zdu_ZqwjhcmXR1BKf7wo&ll=55.9498168%2C-3.1900408000000136&z=13,Marvel Cinematic Universe: Location Scout,"""The Vision fights Corvus Glaive on and around St. Giles Cathedral"" - MCU Location Scout"
